Listed ticketer,GICS Sector,GICS Sub Industry,Category & Note,Sectcor
IPG,Consumer Discretionary,Advertising,1,1
OMC,Consumer Discretionary,Advertising,1,1
ANF,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2,1
COH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2,1
NKE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2,1
RL,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2,1
TIF,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2,1
VFC,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2,1
F,Consumer Discretionary,Automobile Manufacturers,3,1
HOG,Consumer Discretionary,Motorcycle Manufacturers,3,1
JCI,Consumer Discretionary,Auto Parts & Equipment,3,1
CBS,Consumer Discretionary,Broadcasting & Cable TV,4,1
CMCSA,Consumer Discretionary,Broadcasting & Cable TV,4,1
DIS,Consumer Discretionary,Broadcasting & Cable TV,4,1
DTV,Consumer Discretionary,Broadcasting & Cable TV,4,1
TWC,Consumer Discretionary,Broadcasting & Cable TV,4,1
TWX,Consumer Discretionary,Broadcasting & Cable TV,4,1
IGT,Consumer Discretionary,Casinos & Gaming,5,1
WYNN,Consumer Discretionary,Casinos & Gaming,5,1
JCP,Consumer Discretionary,Department Stores,7,1
JWN,Consumer Discretionary,Department Stores,7,1
KSS,Consumer Discretionary,Department Stores,7,1
M,Consumer Discretionary,Department Stores,7,1
SHLD,Consumer Discretionary,Department Stores,7,1
APOL,Consumer Discretionary,Educational Services,8,1
DV,Consumer Discretionary,Educational Services,8,1
DHI,Consumer Discretionary,Homebuilding,9,1
HD,Consumer Discretionary,Home Improvement Retail,9,1
KBH,Consumer Discretionary,Homebuilding,9,1
LEN,Consumer Discretionary,Homebuilding,9,1
LOW,Consumer Discretionary,Home Improvement Retail,9,1
PHM,Consumer Discretionary,Homebuilding,9,1
CCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",10,1
EXPE,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",10,1
HOT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",10,1
MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",10,1
WYN,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",10,1
BDK,Consumer Discretionary,Home & Office Products,11,1
NWL,Consumer Discretionary,Housewares & Specialties,11,1
SNA,Consumer Discretionary,Household Appliances,11,1
SWK,Consumer Discretionary,Household Appliances,11,1
WHR,Consumer Discretionary,Household Appliances,11,1
AMZN,Consumer Discretionary,Internet Retail,12,1
GME,Consumer Discretionary,Other Spec Retail - Discr,13,1
HAS,Consumer Discretionary,Leisure Products,13,1
MAT,Consumer Discretionary,Leisure Products,13,1
ODP,Consumer Discretionary,Other Spec Retail - Discr,13,1
RRD,Consumer Discretionary,Printing Services,13,1
GCI,Consumer Discretionary,Publishing,15,1
MDP,Consumer Discretionary,Publishing,15,1
NYT,Consumer Discretionary,Publishing,15,1
DRI,Consumer Discretionary,Restaurants,16,1
MCD,Consumer Discretionary,Restaurants,16,1
SBUX,Consumer Discretionary,Restaurants,16,1
YUM,Consumer Discretionary,Restaurants,16,1
AN,Consumer Discretionary,Specialty Stores,17,1
AZO,Consumer Discretionary,Specialty Stores,17,1
BBBY,Consumer Discretionary,Specialty Stores,17,1
BBY,Consumer Discretionary,Computer & Electronics Retail,17,1
GPC,Consumer Discretionary,Specialty Stores,17,1
GPS,Consumer Discretionary,Apparel Retail,17,1
GT,Consumer Discretionary,Tires & Rubber,17,1
HAR,Consumer Discretionary,Consumer Electronics,17,1
LTD,Consumer Discretionary,Specialty Apparel Stores,17,1
ORLY,Consumer Discretionary,Specialty Stores,17,1
RSH,Consumer Discretionary,Consumer Elec & Applc Stores,17,1
SPLS,Consumer Discretionary,Specialty Stores,17,1
TJX,Consumer Discretionary,Specialty Apparel Stores,17,1
TGT,Consumer Discretionary,General Merchandise Stores,24,1
FPL,Consumer Discretionary,Lodging,99,1
WPO,Consumer Discretionary,Consumer Services,99,1
ADM,Consumer Staples,Agricultural Products,19,2
CVS,Consumer Staples,Food & Drug Stores,21,2
KR,Consumer Staples,Food Retail,21,2
SVU,Consumer Staples,Food & Drug Stores,21,2
SWY,Consumer Staples,Food & Drug Stores,21,2
SYY,Consumer Staples,Food Distributors,21,2
WAG,Consumer Staples,Food & Drug Stores,21,2
WFMI,Consumer Staples,Food & Drug Stores,21,2
AVP,Consumer Staples,Household Products,23,2
CL,Consumer Staples,Household Products,23,2
CLX,Consumer Staples,Household Products,23,2
KMB,Consumer Staples,Household Products,23,2
BIG,Consumer Staples,Hypermarkets & Super Centers,24,2
COST,Consumer Staples,Hypermarkets & Super Centers,24,2
FDO,Consumer Staples,Hypermarkets & Super Centers,24,2
WMT,Consumer Staples,Hypermarkets & Super Centers,24,2
CAG,Consumer Staples,Packaged Foods & Meats,25,2
CCE,Consumer Staples,"Beverages, Soft Drinks",25,2
CPB,Consumer Staples,Packaged Foods & Meats,25,2
CVH,Consumer Staples,Beverages,25,2
DF,Consumer Staples,Packaged Food,25,2
GIS,Consumer Staples,Packaged Foods & Meats,25,2
HNZ,Consumer Staples,Packaged Food,25,2
HRL,Consumer Staples,Packaged Foods & Meats,25,2
HSY,Consumer Staples,Packaged Foods & Meats,25,2
K,Consumer Staples,Packaged Foods & Meats,25,2
KFT,Consumer Staples,Packaged Food,25,2
KO,Consumer Staples,"Beverages, Soft Drinks",25,2
MKC,Consumer Staples,Packaged Foods & Meats,25,2
PBG,Consumer Staples,Beverages,25,2
PEP,Consumer Staples,Soft Drinks,25,2
SJM,Consumer Staples,Packaged Foods & Meats,25,2
SLE,Consumer Staples,"Food, Beverages",25,2
STZ,Consumer Staples,Beverages,25,2
TAP,Consumer Staples,Brewers,25,2
TSN,Consumer Staples,Packaged Food,25,2
EL,Consumer Staples,Personal Products,26,2
